Crime,Price
1659,301816
2603,517986
1396,336972
2420,431245
2087,443391
3191,807466
2781,369301
2608,470862
2536,401981
2201,398530
2680,556680
1924,725991
2512,568238
1429,450022
1517,366567
2231,407357
2291,413137
2421,645161
2205,1221608
1052,491386
2873,518618
2230,415125
1122,505373
2841,363493
1954,423442
1087,656781
3148,505619
1121,374700
2885,457893
1893,439009
2084,604056
1680,301057
2621,520682
1616,331683
2510,408523
2138,436757
3214,810298
3047,368662
2697,473268
2590,391365
2373,392699
2753,571882
1839,749337
2453,578728
1529,460121
1679,359188
2272,413229
2268,412352
2597,673418
1979,1178166
1124,483250
2913,526690
2406,412522
1267,507897
3011,368816
2061,418360
1144,675114
2958,502612
1350,371626
2748,450669
2074,452299
2341,610256
