price,sold
305277,125
304153,131
305882,124
527115,239
525739,262
523582,253
334826,260
334510,255
334711,250
500246,132
494527,122
431249,239
440620,353
439782,417
438792,374
828560,127
799950,137
818880,125
364997,319
364424,374
367458,301
475064,199
478329,190
475304,164
386682,222
393802,234
393860,227
398331,279
394952,243
397157,217
575846,134
569477,165
562039,132
733133,143
720882,174
718071,136
556375,157
554542,141
561283,141
451900,173
454211,164
451076,173
366415,272
367546,283
366351,292
404082,221
403438,270
408048,216
406757,167
413672,206
410452,173
656948,115
645971,142
629164,130
1246384,109
1191209,105
1193336,113
504567,154
487844,197
490852,192
521142,263
516985,239
519234,239
420718,255
422711,233
417318,248
517023,148
510901,213
504065,170
368382,154
371678,159
365400,142
414820,220
411851,247
413867,191
648451,207
643937,214
649756,233
506787,204
513550,232
512367,178
373890,208
370475,204
375450,217
448436,168
455091,144
453177,140
431498,207
434610,203
435963,201
605360,361
599182,330
600835,347
925955,169
927864,168
955615,150
